timestamp,open,high,low,close,volume
2025-09-02 19:02:21,50000.0,50034.98,49965.02,50000.0,128.43
2025-09-02 19:03:21,50000.0,50022.48,49976.25,49999.37,942.59
2025-09-02 19:04:21,49999.37,50045.78,49999.37,50044.28,738.15
2025-09-02 19:05:21,50044.28,50155.48,50044.28,50139.26,883.87
2025-09-02 19:06:21,50139.26,50174.9,50130.01,50152.45,405.51
2025-09-02 19:07:21,50152.45,50187.64,50152.45,50171.71,833.34
2025-09-02 19:08:21,50171.71,50321.0,50171.71,50287.88,507.09
2025-09-02 19:09:21,50287.88,50374.27,50287.88,50369.29,679.22
2025-09-02 19:10:21,50369.29,50437.92,50350.44,50394.18,173.47
2025-09-02 19:11:21,50394.18,50480.52,50394.18,50475.53,154.32
2025-09-02 19:12:21,50475.53,50527.92,50475.53,50511.47,884.61
2025-09-02 19:13:21,50511.47,50564.57,50511.47,50552.34,297.29
2025-09-02 19:14:21,50552.34,50647.02,50552.34,50633.78,692.84
2025-09-02 19:15:21,50633.78,50633.78,50596.21,50610.73,548.38
2025-09-02 19:16:21,50610.73,50645.13,50557.71,50601.42,305.61
2025-09-02 19:17:21,50601.42,50665.89,50601.42,50654.84,996.7
2025-09-02 19:18:21,50654.84,50690.04,50654.84,50689.08,279.59
2025-09-02 19:19:21,50689.08,50796.89,50689.08,50793.84,712.21
2025-09-02 19:20:21,50793.84,50846.18,50793.84,50839.64,881.45
2025-09-02 19:21:21,50839.64,50904.81,50819.95,50862.38,754.45
2025-09-02 19:22:21,50862.38,51046.0,50862.38,51033.67,411.34
2025-09-02 19:23:21,51033.67,51161.24,51033.67,51121.01,433.93
2025-09-02 19:24:21,51121.01,51230.64,51121.01,51224.89,494.75
2025-09-02 19:25:21,51224.89,51280.39,51224.89,51253.55,752.73
2025-09-02 19:26:21,51253.55,51355.64,51253.55,51327.96,910.63
2025-09-02 19:27:21,51327.96,51437.3,51327.96,51436.31,479.55
2025-09-02 19:28:21,51436.31,51496.56,51436.31,51479.77,921.13
2025-09-02 19:29:21,51479.77,51641.93,51479.77,51601.26,289.6
2025-09-02 19:30:21,51601.26,51709.79,51601.26,51671.64,759.8
2025-09-02 19:31:21,51671.64,51792.38,51671.64,51756.67,218.41
2025-09-02 19:32:21,51756.67,51836.77,51756.67,51823.97,261.71
2025-09-02 19:33:21,51823.97,52023.11,51823.97,52016.33,313.79
2025-09-02 19:34:21,52016.33,52110.43,52016.33,52109.76,322.51
2025-09-02 19:35:21,52109.76,52176.55,52109.76,52145.97,883.67
2025-09-02 19:36:21,52145.97,52297.09,52145.97,52276.92,423.31
2025-09-02 19:37:21,52276.92,52372.17,52223.2,52297.69,633.66
2025-09-02 19:38:21,52297.69,52398.7,52297.69,52389.2,972.47
2025-09-02 19:39:21,52389.2,52392.23,52333.6,52362.92,332.32
2025-09-02 19:40:21,52362.92,52398.96,52331.16,52365.06,796.13
2025-09-02 19:41:21,52365.06,52472.56,52365.06,52442.12,217.79
2025-09-02 19:42:21,52442.12,52543.73,52442.12,52542.5,312.45
2025-09-02 19:43:21,52542.5,52620.36,52542.5,52607.81,166.15
2025-09-02 19:44:21,52607.81,52654.44,52607.81,52652.42,403.3
2025-09-02 19:45:21,52652.42,52715.19,52647.6,52681.4,846.0
2025-09-02 19:46:21,52681.4,52683.27,52601.32,52642.3,655.43
2025-09-02 19:47:21,52642.3,52648.2,52625.67,52636.94,736.1
2025-09-02 19:48:21,52636.94,52648.05,52629.69,52638.87,133.0
2025-09-02 19:49:21,52638.87,52723.45,52638.87,52714.24,762.76
2025-09-02 19:50:21,52714.24,52754.05,52714.24,52745.57,859.75
2025-09-02 19:51:21,52745.57,52745.57,52604.52,52659.2,825.1
2025-09-02 19:52:21,52659.2,52703.4,52649.13,52676.27,285.26
2025-09-02 19:53:21,52676.27,52676.27,52643.08,52649.37,200.73
2025-09-02 19:54:21,52649.37,52649.37,52598.65,52600.53,578.05
2025-09-02 19:55:21,52600.53,52613.97,52600.53,52612.99,942.95
2025-09-02 19:56:21,52612.99,52660.35,52612.99,52641.07,384.54
2025-09-02 19:57:21,52641.07,52659.68,52641.07,52657.56,556.51
2025-09-02 19:58:21,52657.56,52657.56,52550.51,52574.6,509.27
2025-09-02 19:59:21,52574.6,52574.6,52504.47,52513.57,564.04
2025-09-02 20:00:21,52513.57,52535.17,52425.57,52480.37,225.69
2025-09-02 20:01:21,52480.37,52480.37,52471.66,52475.32,126.98
2025-09-02 20:02:21,52475.32,52475.32,52359.46,52388.49,281.67
2025-09-02 20:03:21,52388.49,52388.49,52284.78,52311.98,706.09
2025-09-02 20:04:21,52311.98,52311.98,52166.21,52182.48,881.33
2025-09-02 20:05:21,52182.48,52182.48,51994.18,52043.98,259.43
2025-09-02 20:06:21,52043.98,52043.98,51983.44,52006.07,950.15
2025-09-02 20:07:21,52006.07,52006.07,51979.57,51992.45,714.92
2025-09-02 20:08:21,51992.45,51992.45,51838.54,51900.91,882.01
2025-09-02 20:09:21,51900.91,51900.91,51860.54,51862.03,613.55
2025-09-02 20:10:21,51862.03,51862.03,51758.31,51786.94,294.11
2025-09-02 20:11:21,51786.94,51786.94,51626.57,51657.23,693.0
2025-09-02 20:12:21,51657.23,51657.23,51535.51,51577.64,195.93
2025-09-02 20:13:21,51577.64,51586.6,51527.5,51557.05,692.06
2025-09-02 20:14:21,51557.05,51557.05,51452.27,51453.92,883.68
2025-09-02 20:15:21,51453.92,51453.92,51423.87,51432.33,804.15
2025-09-02 20:16:21,51432.33,51432.33,51153.62,51194.93,890.66
2025-09-02 20:17:21,51194.93,51194.93,51123.02,51134.61,463.73
2025-09-02 20:18:21,51134.61,51134.61,51006.65,51037.0,827.06
